mean,std,var,max,min,range,diff_mean,diff_std,skew,kurt,state
18.481090651779315,19.845360685126895,24.0618797856176,55.0,-8.0,63.0,0.051724900252186255,7.097198364782687,1.2411863587689749,6.834542891849161,Panic
18.358940066210984,19.716156442348396,17.041884269653142,51.0,-6.0,57.0,-0.004007004386113735,6.014940582813939,1.070614834210499,6.529073294336718,Panic
18.17318609344246,19.262721954347754,15.623510388176253,51.0,-6.0,57.0,0.1092685003196762,5.7977960588648925,0.20416225215213085,0.11786891559350113,Panic
18.587693306010433,19.20346271802904,15.118703993257347,51.0,-8.0,59.0,0.06538075071592703,5.268491332729008,0.5258424475724938,1.9095557433243637,Panic
18.998573698481387,19.714110628543228,13.676651423950206,51.0,-8.0,59.0,-0.007933323538775433,5.487430008647269,0.5050026208868903,2.8805749279169492,Panic
18.800880234004545,19.907759055916184,11.999120751148988,48.0,-8.0,56.0,0.04866322915043224,4.998244178135332,0.020755694951114068,1.244132333952574,Panic
18.52062565850229,19.613106607351018,12.871805623978208,48.0,-8.0,56.0,-0.048959290619950954,4.989892419718506,0.17091857168614322,1.4673507359517173,Panic
18.46838036718185,19.659707774631425,24.58763305338871,63.0,-16.0,79.0,-0.0159898667091587,7.051091458175011,1.474331794047853,13.038321658687929,Panic
18.476332642479385,19.605391211465452,28.608559085791565,63.0,-16.0,79.0,0.01001589324307374,7.73767902687085,1.552079337205605,12.632267811658322,Panic
18.332112834847702,19.48346250871476,15.783826423195308,50.0,-5.0,55.0,-0.006188634550893124,5.898937439643189,-0.08064597468129127,-0.22065160023425845,Panic
18.76757299501576,19.874618545788124,11.275925917372556,48.0,-3.0,51.0,0.06742472287735234,4.882984655609643,-0.11702856663378783,-0.04011503321785887,Panic
18.69049748720892,19.600960175316292,14.865750791597028,48.0,-8.0,56.0,-0.06660370510957549,5.52441329797396,0.1308092697621421,0.7802946414903339,Panic
18.3086580761864,19.38127650862752,16.791456306035013,49.0,-8.0,57.0,-0.03910849435094198,5.665467896193441,0.306915024734714,0.898948538017347,Panic
18.062155888921428,19.15233036054021,19.539558075556293,49.0,-7.0,56.0,0.07428046361610045,6.252457560335029,0.15041820256652955,-0.12466307015343496,Panic
18.292601199189644,19.633345376043057,17.834614108217554,49.0,-6.0,55.0,0.13726279542298597,5.796350359373927,0.06501768549982419,-0.3095237752082603,Panic
18.330738150906722,19.89450713921701,16.708435417547907,55.0,-4.0,59.0,0.006393474721863501,5.4012316430747465,1.1646943531672953,6.111293063650176,Panic
17.822874687268556,19.063263569839226,16.59524754365594,55.0,-8.0,63.0,0.05643663896345724,5.85828973850114,1.0188022636143033,4.429908333017138,Panic
18.400218886598132,19.261660088164714,16.663026682247274,51.0,-8.0,59.0,0.12886297376093292,5.949857825467681,1.371588715991931,7.24959329424969,Panic
18.411161962611953,19.334125175937242,18.425999701557565,51.0,-5.0,56.0,-0.08716176268639925,6.087940814140195,1.3449321741677107,6.861519245601241,Panic
18.12668909575284,19.41421730017527,16.924658565555227,48.0,-6.0,54.0,0.0531988734562681,5.592662944877596,0.4567451149527986,1.7889152647887487,Panic
