mean,variance,std_dev,min,max,range,difference,state
45.2,2.2,1.4832396974191324,43.0,47.0,4.0,1.0,Panic
29.8,5.199999999999999,2.280350850198276,26.0,32.0,6.0,5.0,Panic
43.0,1.5,1.224744871391589,42.0,45.0,3.0,0.0,Panic
38.2,0.2,0.4472135954999579,38.0,39.0,1.0,0.0,Panic
39.4,2.8,1.6733200530681511,37.0,41.0,4.0,0.0,Panic
31.4,0.7999999999999999,0.8944271909999159,30.0,32.0,2.0,1.0,Panic
43.6,3.3000000000000003,1.8165902124584952,41.0,46.0,5.0,-2.0,Panic
44.2,2.7,1.6431676725154982,42.0,46.0,4.0,-1.0,Panic
44.4,0.3,0.5477225575051661,44.0,45.0,1.0,0.0,Panic
35.0,4.0,2.0,33.0,37.0,4.0,2.0,Panic
48.2,0.2,0.4472135954999579,48.0,49.0,1.0,-1.0,Panic
46.8,5.700000000000001,2.387467277262665,43.0,49.0,6.0,3.0,Panic
42.6,1.7999999999999998,1.3416407864998738,41.0,44.0,3.0,-1.0,Panic
47.8,0.2,0.4472135954999579,47.0,48.0,1.0,-1.0,Panic
43.8,2.7,1.6431676725154982,42.0,45.0,3.0,-3.0,Panic
30.8,2.7,1.6431676725154984,28.0,32.0,4.0,4.0,Panic
36.8,1.7,1.3038404810405295,35.0,38.0,3.0,-1.0,Panic
44.0,0.5,0.7071067811865476,43.0,45.0,2.0,2.0,Panic
31.8,2.2,1.4832396974191324,30.0,34.0,4.0,1.0,Panic
32.4,0.3,0.5477225575051661,32.0,33.0,1.0,-1.0,Panic
46.8,0.7,0.8366600265340756,46.0,48.0,2.0,0.0,Panic
43.0,2.5,1.5811388300841898,41.0,45.0,4.0,2.0,Panic
35.8,2.7,1.6431676725154982,34.0,38.0,4.0,-3.0,Panic
38.2,0.7,0.8366600265340756,37.0,39.0,2.0,-2.0,Panic
44.2,5.699999999999999,2.3874672772626644,41.0,47.0,6.0,6.0,Panic
47.2,1.2,1.095445115010332,46.0,48.0,2.0,2.0,Panic
29.8,0.7000000000000001,0.8366600265340756,29.0,31.0,2.0,1.0,Panic
36.2,1.6999999999999995,1.3038404810405295,34.0,37.0,3.0,3.0,Panic
42.4,24.8,4.979959839195493,39.0,51.0,12.0,-12.0,Panic
42.6,2.8000000000000003,1.6733200530681511,41.0,45.0,4.0,4.0,Panic
42.2,7.2,2.683281572999748,38.0,45.0,7.0,-7.0,Panic
45.8,1.6999999999999995,1.3038404810405295,44.0,47.0,3.0,1.0,Panic
45.8,2.7,1.6431676725154984,44.0,48.0,4.0,1.0,Panic
44.0,2.0,1.4142135623730951,43.0,46.0,3.0,3.0,Panic
43.8,1.6999999999999995,1.3038404810405295,43.0,46.0,3.0,0.0,Panic
31.8,0.7000000000000001,0.8366600265340756,31.0,33.0,2.0,0.0,Panic
34.4,6.800000000000001,2.6076809620810595,30.0,37.0,7.0,-2.0,Panic
46.0,1.0,1.0,45.0,47.0,2.0,2.0,Panic
42.2,3.2,1.7888543819998317,39.0,43.0,4.0,0.0,Panic
45.4,0.3,0.5477225575051661,45.0,46.0,1.0,0.0,Panic
42.6,1.8000000000000005,1.3416407864998738,41.0,44.0,3.0,2.0,Panic
45.4,0.7999999999999999,0.8944271909999159,45.0,47.0,2.0,0.0,Panic
44.0,2.5,1.5811388300841898,42.0,46.0,4.0,2.0,Panic
41.8,1.2,1.095445115010332,41.0,43.0,2.0,-2.0,Panic
32.2,3.2,1.7888543819998317,30.0,35.0,5.0,0.0,Panic
38.4,0.3,0.5477225575051661,38.0,39.0,1.0,1.0,Panic
44.6,1.3000000000000005,1.140175425099138,43.0,46.0,3.0,1.0,Panic
42.6,1.8,1.3416407864998738,41.0,44.0,3.0,-2.0,Panic
43.2,1.1999999999999995,1.095445115010332,42.0,45.0,3.0,1.0,Panic
36.2,2.7,1.6431676725154982,34.0,38.0,4.0,2.0,Panic
43.6,0.7999999999999999,0.8944271909999159,43.0,45.0,2.0,-1.0,Panic
45.4,2.3,1.51657508881031,44.0,48.0,4.0,3.0,Panic
48.0,3.0,1.7320508075688772,47.0,51.0,4.0,-4.0,Panic
38.2,0.2,0.4472135954999579,38.0,39.0,1.0,1.0,Panic
43.0,0.5,0.7071067811865476,42.0,44.0,2.0,-1.0,Panic
46.4,1.3000000000000005,1.140175425099138,45.0,48.0,3.0,-1.0,Panic
30.0,15.5,3.9370039370059056,23.0,32.0,9.0,0.0,Panic
38.0,1.0,1.0,37.0,39.0,2.0,1.0,Panic
36.4,2.3,1.51657508881031,34.0,38.0,4.0,-3.0,Panic
44.8,1.6999999999999995,1.3038404810405295,43.0,46.0,3.0,3.0,Panic
38.2,0.2,0.4472135954999579,38.0,39.0,1.0,0.0,Panic
45.0,1.5,1.224744871391589,43.0,46.0,3.0,0.0,Panic
46.6,1.2999999999999998,1.1401754250991378,45.0,48.0,3.0,3.0,Panic
43.4,0.7999999999999999,0.8944271909999159,42.0,44.0,2.0,0.0,Panic
41.6,4.8,2.1908902300206643,38.0,43.0,5.0,5.0,Panic
46.8,1.7,1.3038404810405295,45.0,48.0,3.0,-2.0,Panic
31.4,0.7999999999999999,0.8944271909999159,30.0,32.0,2.0,1.0,Panic
32.8,0.2,0.4472135954999579,32.0,33.0,1.0,-1.0,Panic
36.2,1.7,1.3038404810405295,35.0,38.0,3.0,2.0,Panic
43.2,1.2,1.095445115010332,42.0,45.0,3.0,3.0,Panic
44.0,1.0,1.0,43.0,45.0,2.0,-2.0,Panic
44.0,2.0,1.4142135623730951,43.0,46.0,3.0,1.0,Panic
36.4,0.3,0.5477225575051661,36.0,37.0,1.0,1.0,Panic
46.8,1.7,1.3038404810405295,45.0,48.0,3.0,-1.0,Panic
32.4,1.2999999999999998,1.1401754250991378,31.0,34.0,3.0,-1.0,Panic
44.6,2.3000000000000003,1.5165750888103102,43.0,46.0,3.0,3.0,Panic
38.2,0.7,0.8366600265340756,37.0,39.0,2.0,1.0,Panic
33.2,7.7,2.7748873851023217,31.0,38.0,7.0,0.0,Panic
47.0,1.0,1.0,46.0,48.0,2.0,1.0,Panic
30.8,0.7,0.8366600265340756,30.0,32.0,2.0,-1.0,Panic
38.4,15.3,3.911521443121589,33.0,42.0,9.0,6.0,Panic
